Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
843,T001,4215,-0.0888076467560224,0.0664203199604766
844,T001,4220,-0.0833328020460515,0.0728613151949642
845,T001,4225,-0.0791461560629036,0.0793023104918292
846,T001,4230,-0.0717390131090606,0.0847771565433313
847,T001,4235,-0.0659421185693115,0.089285853325627
848,T001,4240,-0.0588570251782133,0.093150450592083
849,T001,4245,-0.0524160311243382,0.0973370976562956
850,T001,4250,-0.0430765896410458,0.100235545639417
851,T001,4255,-0.0347032971705084,0.102167844301927
852,T001,4260,-0.0266520543153332,0.104422192748702
853,T001,4265,-0.0169905627656694,0.105710391864619
854,T001,4270,-0.00861726997995243,0.106676541203217
855,T001,4275,0.0107057137612497,0.106032441643994
856,T001,4280,0.0200451560986946,0.106676541203217
857,T001,4285,0.0284184493378978,0.105388342085403
858,T001,4290,0.0367917426806057,0.104100142970117
859,T001,4295,0.0451650361271788,0.101523744747126
860,T001,4300,0.0528942301703613,0.0992693963102916
861,T001,4305,0.060301374545341,0.0963709483314241
862,T001,4310,0.0677085190023918,0.0915402017283101
863,T001,4315,0.0731833649583246,0.0870315049306364
864,T001,4320,0.0786582109593311,0.0818787086280777
865,T001,4325,0.0838110072368372,0.0754377133062158
866,T001,4330,0.0889638035544433,0.0686746682854621
867,T001,4335,0.0934725003653092,0.061911623333362
868,T001,4340,0.0960488985567818,0.0545044789405619
869,T001,4345,0.0986252967583293,0.0461311853777141
870,T001,4350,0.101201694969962,0.0380799416656167
871,T001,4355,0.102811943857359,0.0293845985644595
872,T001,4360,0.103778093191691,0.0206892555749668
873,T001,4365,0.104100142970117,0.0116718629626357
874,T001,4370,0.104100142970117,-0.0076511208058187
875,T001,4375,0.104100142970117,-0.0160244136032761
876,T001,4380,0.102811943857359,-0.025685905166435
877,T001,4385,0.101523744747126,-0.0340591977455278
878,T001,4390,0.0992693963102916,-0.0421104405149621
879,T001,4395,0.0963709483314241,-0.0504837328966418
880,T001,4400,0.092828400819014,-0.0585349754769227
881,T001,4405,0.0886417537834165,-0.0656200688712623
882,T001,4410,0.0834889574683191,-0.0727051621943934
883,T001,4415,0.078980260725502,-0.0785020566786881
884,T001,4420,0.0722172156687112,-0.0836548517360403
885,T001,4425,0.064810071161582,-0.0888076467560224
886,T001,4430,0.0580470262486272,-0.0929942926822993
887,T001,4435,0.0493516828895274,-0.0958927398476339
888,T001,4440,0.0419445386354129,-0.0997573360497878
889,T001,4445,0.0332491954844974,-0.101045534779199
890,T001,4450,0.0245538524454259,-0.102655783187703
891,T001,4455,0.0148923603104749,-0.103299882550092
892,T001,4460,-0.00507472300149132,-0.103943981911901
893,T001,4465,-0.0147362147179811,-0.104588081273132
894,T001,4470,-0.0234315571470999,-0.103299882550092
895,T001,4475,-0.0314828000396383,-0.101367584461189
896,T001,4480,-0.0398560925488975,-0.0994352863670727
897,T001,4485,-0.0479073352514195,-0.0968588889001312
898,T001,4490,-0.0553144784558965,-0.0929942926822993
899,T001,4495,-0.0627216215821972,-0.0888076467560224
900,T001,4500,-0.0694846652381474,-0.08429895111558
901,T001,4505,-0.0752815597488286,-0.0781800069863609
902,T001,4510,-0.0807564045208833,-0.0720610628043182
903,T001,4515,-0.0846210008051309,-0.0652980191730661
904,T001,4520,-0.0917060939383715,-0.0578908760738988
905,T001,4525,-0.0929942926822993,-0.0504837328966418
906,T001,4530,-0.0952486404785765,-0.0421104405149621
907,T001,4535,-0.0978250379513222,-0.0334150983199506
908,T001,4540,-0.0994352863670727,-0.024397706299142
909,T001,4545,-0.100723485097063,-0.0153803141609293
910,T001,4550,-0.100723485097063,-0.00604087217924587
911,T001,4555,-0.101045534779199,0.0136041613695133
912,T001,4560,-0.0997573360497878,0.0229436037467281
913,T001,4565,-0.0984691373180575,0.0309948472784594
914,T001,4570,-0.0971809385840066,0.0403342898953053
915,T001,4575,-0.0939604417387185,0.0490296331376514
916,T001,4580,-0.091384044252026,0.056114727714632
917,T001,4585,-0.0871973983162873,0.0638439218841105
918,T001,4590,-0.0836548517360403,0.0706069668558065
